sample;ko;genesymbol;genename;cpd;compoundclass;referenceAG;compoundname;enzyme_activity
Acinetobacter Baumanii - acb;K00799;GST;glutathione S-transferase ;C10928;Chlorinated;WFD;Alachlor;transferase
Acinetobacter Baumanii - acb;K00799;GST;glutathione S-transferase ;C14322;Chlorinated;WFD;Chlorpyrifos;transferase
Acinetobacter Baumanii - acb;K00799;GST;glutathione S-transferase ;C06790;Chlorinated;CONAMA;Trichloroethene;transferase
Acinetobacter Baumanii - acb;K00799;GST;glutathione S-transferase ;C10928;Chlorinated;EPC;Alachlor;transferase
Acinetobacter Baumanii - acb;K00799;GST;glutathione S-transferase ;C14322;Organophosphorus;EPC;Chlorpyrifos;transferase
Acinetobacter Baumanii - acb;K00799;GST;glutathione S-transferase ;C14322;Chlorinated;ATSDR;Chlorpyrifos;transferase
Acinetobacter Baumanii - acb;K00799;GST;glutathione S-transferase ;C11090;Chlorinated;WFD;Endosulfan;transferase
Acinetobacter Baumanii - acb;K00799;GST;glutathione S-transferase ;C10984;Polyaromatic;EPC;Cypermethrin;transferase
Acinetobacter Baumanii - acb;K00799;GST;glutathione S-transferase ;C11278;Nitrogen-containing;IARC1;Aflatoxin B1exo-8,9-epoxide-GSH;transferase
Acinetobacter Baumanii - acb;K00799;GST;glutathione S-transferase ;C06790;Aliphatic;EPA;Trichloroethene;transferase
Acinetobacter Baumanii - acb;K00799;GST;glutathione S-transferase ;C11090;Inorganic;WFD;Endosulfan;transferase
Acinetobacter Baumanii - acb;K00799;GST;glutathione S-transferase ;C14449;Aliphatic;IARC2A;Epichlorohydrin;transferase
Acinetobacter Baumanii - acb;K00799;GST;glutathione S-transferase ;C11090;Chlorinated;ATSDR;Endosulfan;transferase
Acinetobacter Baumanii - acb;K00799;GST;glutathione S-transferase ;C06790;Chlorinated;ATSDR;Trichloroethene;transferase
Acinetobacter Baumanii - acb;K00799;GST;glutathione S-transferase ;C14430;Chlorinated;ATSDR;Dichlorvos;transferase
Acinetobacter Baumanii - acb;K00799;GST;glutathione S-transferase ;C06790;Aliphatic;EPC;Trichloroethene;transferase
Acinetobacter Baumanii - acb;K00799;GST;glutathione S-transferase ;C06790;Chlorinated;IARC1;Trichloroethene;transferase
Acinetobacter Baumanii - acb;K00799;GST;glutathione S-transferase ;C06790;Aliphatic;ATSDR;Trichloroethene;transferase
Acinetobacter Baumanii - acb;K00799;GST;glutathione S-transferase ;C11278;Sulfur-containing;IARC1;Aflatoxin B1exo-8,9-epoxide-GSH;transferase
Acinetobacter Baumanii - acb;K00799;GST;glutathione S-transferase ;C14430;Organophosphorus;ATSDR;Dichlorvos;transferase
Acinetobacter Baumanii - acb;K00799;GST;glutathione S-transferase ;C11088;Organometallic;ATSDR;1,2-Dibromoethane;transferase
Acinetobacter Baumanii - acb;K00799;GST;glutathione S-transferase ;C14430;Chlorinated;EPC;Dichlorvos;transferase
Acinetobacter Baumanii - acb;K00799;GST;glutathione S-transferase ;C11090;Inorganic;EPC;Endosulfan;transferase
Acinetobacter Baumanii - acb;K00799;GST;glutathione S-transferase ;C10984;Chlorinated;EPC;Cypermethrin;transferase
Acinetobacter Baumanii - acb;K00799;GST;glutathione S-transferase ;C11090;Chlorinated;EPC;Endosulfan;transferase
Acinetobacter Baumanii - acb;K00799;GST;glutathione S-transferase ;C06790;Chlorinated;PSL;Trichloroethene;transferase
Acinetobacter Baumanii - acb;K00799;GST;glutathione S-transferase ;C06790;Aliphatic;CONAMA;Trichloroethene;transferase
Acinetobacter Baumanii - acb;K00799;GST;glutathione S-transferase ;C14430;Organophosphorus;IARC2B;Dichlorvos;transferase
Acinetobacter Baumanii - acb;K00799;GST;glutathione S-transferase ;C19586;Aromatic;IARC1;Aflatoxin B1-exo-8,9-epoxide;transferase
Acinetobacter Baumanii - acb;K00799;GST;glutathione S-transferase ;C01326;Nitrogen-containing;ATSDR;Hydrogen cyanide;transferase
Acinetobacter Baumanii - acb;K00799;GST;glutathione S-transferase ;C11090;Chlorinated;EPA;Endosulfan;transferase
Acinetobacter Baumanii - acb;K00799;GST;glutathione S-transferase ;C10928;Nitrogen-containing;WFD;Alachlor;transferase
Acinetobacter Baumanii - acb;K00799;GST;glutathione S-transferase ;C10928;Aromatic;WFD;Alachlor;transferase
Acinetobacter Baumanii - acb;K00799;GST;glutathione S-transferase ;C10984;Nitrogen-containing;EPC;Cypermethrin;transferase
Acinetobacter Baumanii - acb;K00799;GST;glutathione S-transferase ;C10928;Nitrogen-containing;EPC;Alachlor;transferase
Acinetobacter Baumanii - acb;K00799;GST;glutathione S-transferase ;C14322;Chlorinated;EPC;Chlorpyrifos;transferase
Acinetobacter Baumanii - acb;K00799;GST;glutathione S-transferase ;C11090;Inorganic;EPA;Endosulfan;transferase
Acinetobacter Baumanii - acb;K00799;GST;glutathione S-transferase ;C10928;Aromatic;EPC;Alachlor;transferase
