ko;genesymbol;genename;cpd;compoundclass;referenceAG;compoundname;enzyme_activity
K00001;E1.1.1.1;alcohol dehydrogenase ;C19302;Nitrogen-containing;IARC2B;Thioacetamide;dehydrogenase
K00001;E1.1.1.1;alcohol dehydrogenase ;C06696;Metal;ATSDR;Lead;dehydrogenase
K00001;E1.1.1.1;alcohol dehydrogenase ;C11344;Aliphatic;PSL;Methyl tert-butyl ether;dehydrogenase
K00001;E1.1.1.1;alcohol dehydrogenase ;C06696;Metal;EPC;Lead;dehydrogenase
K00001;E1.1.1.1;alcohol dehydrogenase ;C06899;Aliphatic;IARC2A;Chloral hydrate;dehydrogenase
K00001;E1.1.1.1;alcohol dehydrogenase ;C19302;Aliphatic;IARC2B;Thioacetamide;dehydrogenase
K00001;E1.1.1.1;alcohol dehydrogenase ;C06899;Chlorinated;IARC2A;Chloral hydrate;dehydrogenase
K00001;E1.1.1.1;alcohol dehydrogenase ;C14440;Aliphatic;ATSDR;1,4-Dioxane;dehydrogenase
K00001;E1.1.1.1;alcohol dehydrogenase ;C06696;Metal;IARC2A;Lead;dehydrogenase
K00001;E1.1.1.1;alcohol dehydrogenase ;C00084;Aliphatic;IARC1;Acetaldehyde;dehydrogenase
K00001;E1.1.1.1;alcohol dehydrogenase ;C13377;Metal;ATSDR;Mercuric chloride;dehydrogenase
K00001;E1.1.1.1;alcohol dehydrogenase ;C00084;Aliphatic;PSL;Acetaldehyde;dehydrogenase
K00001;E1.1.1.1;alcohol dehydrogenase ;C06747;Aromatic;PSL;Phenylmethanesulfonyl fluoride;dehydrogenase
K00001;E1.1.1.1;alcohol dehydrogenase ;C00038;Metal;EPA;Zinc cation;dehydrogenase
K00001;E1.1.1.1;alcohol dehydrogenase ;C00469;Aliphatic;IARC1;Ethanol;dehydrogenase
K00001;E1.1.1.1;alcohol dehydrogenase ;C19263;Aliphatic;IARC2B;Methyl isobutyl ketone;dehydrogenase
K00001;E1.1.1.1;alcohol dehydrogenase ;C06696;Metal;EPA;Lead;dehydrogenase
K00001;E1.1.1.1;alcohol dehydrogenase ;C06696;Metal;WFD;Lead;dehydrogenase
K00001;E1.1.1.1;alcohol dehydrogenase ;C13377;Chlorinated;WFD;Mercuric chloride;dehydrogenase
K00001;E1.1.1.1;alcohol dehydrogenase ;C14440;Aliphatic;IARC2B;1,4-Dioxane;dehydrogenase
K00001;E1.1.1.1;alcohol dehydrogenase ;C13377;Metal;WFD;Mercuric chloride;dehydrogenase
